Brewery,Beer,Description,Style,ABV,IBU,Rating
Bauhaus,Wonderstuff,New Bohemian Pilsner,Lager,5.4,48,88
Bauhaus,Stargazer,German Style Schwarzbier,Lager,5,28,87
Bauhaus,Wagon Party,West Cost Style Lager,Lager,5.4,55,86
Bauhaus,Sky-Five!,Midwest Coast IPA,IPA,6.7,70,86
Bent Paddle,Kanu,Session Pale Ale,Ale,4.8,48,85
Bent Paddle,Venture Pils,Pilsner Lager,Lager,5,38,87
Bent Paddle,Bent Hop,Golden IPA,IPA,6.2,68,89
Bent Paddle,14* ESB,Extra Special Amber Ale,Ale,5.6,32,88
Bent Paddle,Black Ale,Black Ale,Ale,6,34,89
Indeed,Day Tripper,Pale Ale,Ale,5.4,45,90
Indeed,B-Side Pils,Pilsner Lager,Lager,5.1,35,87
Indeed,Lucy Session Sour,Session Sour Ale,Ale,4.2,27,86
Indeed,Midnight Ryder,Black India Pale Ale,IPA,6.5,80,90
Indeed,Let it Roll,India Pale Ale,IPA,6.2,86,87
Indeed,Let it Ride,India Pale Ale,IPA,6.8,90,90
Indeed,Peach Bum,India Pale Ale with Peach,IPA,6.2,70,85
Fulton,Lonely Blonde,American Blonde Ale,Ale,4.8,29,79
Fulton,Standard Lager,Standard Lager,Lager,4.5,18,86
Fulton,Batch 300,Mosaic IPA,IPA,6.9,74,92
Fulton,Pils,Continental Pilsner,Lager,5.3,30,84
Fulton,Sweet Child of Vine,India Pale Ale,IPA,6.4,69,81
Steel Toe,Size 7,Pacific Northwest IPA,IPA,7,77,91
Steel Toe,Provider,English Ale,Ale,5,15,85
Steel Toe,Rainmaker,Double Red Ale,Ale,6.5,65,88
Steel Toe,Dissent,Dark Ale,Ale,7,50,88
Summit,Extra Pale Ale,Extra Pale Ale,Ale,5.2,49,83
Summit,Saga IPA,India Pale Ale,IPA,6.2,80,89
Summit,Great Northern Porter,Porter,Ale,5.4,51,86
Summit,Pilsener,Pilsner,Lager,4.5,23,82
Summit,Oatmeal Stout,Oatmeal Stout,Ale,5.2,41,90
Summit,Horizon Red IPA,Red IPA,IPA,5.8,66,85
Summit,True Brit IPA,English IPA,IPA,6.4,61,83
Surly,Bender,Oatmeal Brown Ale,Ale,5.5,45,92
Surly,Coffee Bender,Brown Ale with Coffee,Ale,5.5,45,92
Surly,CynicAle,Belgian Style Pale Ale,Ale,6.5,33,90
Surly,Furious,India Pale Ale,IPA,6.6,99,95
Surly,Hell,German Style Munich Helles Lager,Lager,5.3,20,87
Surly,Overrated,West Coast IPA,IPA,7.5,69,91
Surly,Todd the Axe Man,West Coast Style IPA,IPA,7.5,65,98
Urban Growler,Cowbell Cream Ale,Cream Ale,Ale,5.2,20,82
Urban Growler,Midwest IPA,English IPA,IPA,6.2,60,83
Urban Growler,De-Lovely Porter,Porter,Ale,5.6,33,86
Urban Growler,Kentucky Uncommon,Kentucky Common Beer,Ale,5.5,40,84
Urban Growler,Big Boot Rye IPA,Rye IPA,IPA,6.5,66,84
